Temperature (K),Mass,Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star type,Star color,Spectral Class,,name
,,,,,,,,,HD 156279 b
,,,,,,,,,HD 156279 c
,,,,,,,,,HD 156411 b
,,,,,,,,,HD 156668 b
,,,,,,,,,HD 156846 b
,,,,,,,,,HD 158038 b
,,,,,,,,,HD 158259 b
,,,,,,,,,HD 158259 c
,,,,,,,,,HD 158259 d
,,,,,,,,,HD 158259 e
,,,,,,,,,HD 158259 f
,,,,,,,,,HD 158996 b
,,,,,,,,,HD 159243 b
,,,,,,,,,HD 159243 c
,,,,,,,,,HD 159868 b
,,,,,,,,,HD 159868 c
,,,,,,,,,HD 1605 b
,,,,,,,,,HD 1605 c
,,,,,,,,,HD 160691 b
,,,,,,,,,HD 160691 c
,,,,,,,,,HD 160691 d
,,,,,,,,,HD 160691 e
,,,,,,,,,HD 16141 b
,,,,,,,,,HD 16175 b
,,,,,,,,,HD 162020 b
,,,,,,,,,HD 163607 b
,,,,,,,,,HD 163607 c
,,,,,,,,,HD 16417 b
,,,,,,,,,HD 164509 b
,,,,,,,,,HD 164595 b
,,,,,,,,,HD 164604 b
,,,,,,,,,HD 164922 b
,,,,,,,,,HD 164922 c
,,,,,,,,,HD 164922 d
,,,,,,,,,HD 165155 b
,,,,,,,,,HD 1666 b
,,,,,,,,,HD 166724 b
,,,,,,,,,HD 167042 b
,,,,,,,,,HD 168443 b
,,,,,,,,,HD 168443 c
,,,,,,,,,HD 168746 b
,,,,,,,,,HD 1690 b
,,,,,,,,,HD 169830 b
,,,,,,,,,HD 169830 c
,,,,,,,,,HD 170469 b
,,,,,,,,,HD 17092 b
,,,,,,,,,HD 171028 b
,,,,,,,,,HD 171238 b
,,,,,,,,,HD 17156 b
,,,,,,,,,HD 173416 b
,,,,,,,,,HD 175167 b
,,,,,,,,,HD 175541 b
,,,,,,,,,HD 175607 b
,,,,,,,,,HD 17674 b
,,,,,,,,,HD 176986 b
,,,,,,,,,HD 176986 c
,,,,,,,,,HD 177565 b
,,,,,,,,,HD 177830 b
,,,,,,,,,HD 177830 c
,,,,,,,,,HD 178911 B b
,,,,,,,,,HD 179079 b
,,,,,,,,,HD 179949 b
,,,,,,,,,HD 180053 b
,,,,,,,,,HD 18015 b
,,,,,,,,,HD 180314 b
,,,,,,,,,HD 180617 b
,,,,,,,,,HD 180902 b
,,,,,,,,,HD 181234 b
,,,,,,,,,HD 181342 b
,,,,,,,,,HD 181433 b
,,,,,,,,,HD 181433 c
,,,,,,,,,HD 181433 d
,,,,,,,,,HD 181720 b
,,,,,,,,,HD 183263 b
,,,,,,,,,HD 183263 c
,,,,,,,,,HD 185269 b
,,,,,,,,,HD 187085 b
,,,,,,,,,HD 187123 b
,,,,,,,,,HD 187123 c
,,,,,,,,,HD 18742 b
,,,,,,,,,HD 188015 b
,,,,,,,,,HD 189733 b
,,,,,,,,,HD 190360 b
,,,,,,,,,HD 190360 c
,,,,,,,,,HD 190647 b
,,,,,,,,,HD 190984 b
,,,,,,,,,HD 191806 b
,,,,,,,,,HD 191939 b
,,,,,,,,,HD 191939 c
,,,,,,,,,HD 191939 d
,,,,,,,,,HD 192263 b
,,,,,,,,,HD 192310 b
,,,,,,,,,HD 192310 c
,,,,,,,,,HD 192699 b
,,,,,,,,,HD 195019 b
,,,,,,,,,HD 196050 b
,,,,,,,,,HD 196067 b
,,,,,,,,,HD 196885 A b
,,,,,,,,,HD 197037 b
,,,,,,,,,HD 19994 b
,,,,,,,,,HD 20003 b
,,,,,,,,,HD 20003 c
,,,,,,,,,HD 200964 b
,,,,,,,,,HD 200964 c
,,,,,,,,,HD 202206 c
,,,,,,,,,HD 202696 b
,,,,,,,,,HD 202696 c
,,,,,,,,,HD 202772 A b
,,,,,,,,,HD 203030 b
,,,,,,,,,HD 203473 b
,,,,,,,,,HD 2039 b
,,,,,,,,,HD 204313 b
,,,,,,,,,HD 204313 c
,,,,,,,,,HD 204941 b
,,,,,,,,,HD 205739 b
,,,,,,,,,HD 206255 b
,,,,,,,,,HD 206610 b
,,,,,,,,,HD 20781 b
,,,,,,,,,HD 20781 c
,,,,,,,,,HD 20781 d
,,,,,,,,,HD 20781 e
,,,,,,,,,HD 20782 b
,,,,,,,,,HD 207832 b
,,,,,,,,,HD 207832 c
,,,,,,,,,HD 20794 b
,,,,,,,,,HD 20794 c
,,,,,,,,,HD 20794 d
,,,,,,,,,HD 20794 e
,,,,,,,,,HD 208487 b
,,,,,,,,,HD 208527 b
,,,,,,,,,HD 20868 b
,,,,,,,,,HD 208897 b
,,,,,,,,,HD 209458 b
,,,,,,,,,HD 210193 b
,,,,,,,,,HD 210277 b
,,,,,,,,,HD 210702 b
,,,,,,,,,HD 211810 b
,,,,,,,,,HD 211970 b
,,,,,,,,,HD 212301 b
,,,,,,,,,HD 212771 b
,,,,,,,,,HD 213240 b
,,,,,,,,,HD 213885 b
,,,,,,,,,HD 213885 c
,,,,,,,,,HD 21411 b
,,,,,,,,,HD 214823 b
,,,,,,,,,HD 215152 b
,,,,,,,,,HD 215152 c
,,,,,,,,,HD 215152 d
,,,,,,,,,HD 215152 e
,,,,,,,,,HD 215497 b
,,,,,,,,,HD 215497 c
,,,,,,,,,HD 216435 b
,,,,,,,,,HD 216437 b
,,,,,,,,,HD 216536 b
,,,,,,,,,HD 216770 b
,,,,,,,,,HD 21693 b
,,,,,,,,,HD 21693 c
,,,,,,,,,HD 217107 b
,,,,,,,,,HD 217107 c
,,,,,,,,,HD 21749 c
,,,,,,,,,HD 217786 b
,,,,,,,,,HD 217850 b
,,,,,,,,,HD 218566 b
,,,,,,,,,HD 219077 b
,,,,,,,,,HD 219134 b
,,,,,,,,,HD 219134 c
,,,,,,,,,HD 219134 d
,,,,,,,,,HD 219134 f
,,,,,,,,,HD 219134 g
,,,,,,,,,HD 219134 h
,,,,,,,,,HD 219415 b
,,,,,,,,,HD 219666 b
,,,,,,,,,HD 219828 b
,,,,,,,,,HD 219828 c
,,,,,,,,,HD 220074 b
,,,,,,,,,HD 220197 b
,,,,,,,,,HD 220689 b
,,,,,,,,,HD 220773 b
,,,,,,,,,HD 220842 b
,,,,,,,,,HD 221287 b
,,,,,,,,,HD 221416 b
,,,,,,,,,HD 221420 b
,,,,,,,,,HD 221585 b
,,,,,,,,,HD 222076 b
,,,,,,,,,HD 222155 b
,,,,,,,,,HD 222582 b
,,,,,,,,,HD 224538 b
,,,,,,,,,HD 224693 b
,,,,,,,,,HD 22781 b
,,,,,,,,,HD 23079 b
,,,,,,,,,HD 23127 b
,,,,,,,,,HD 231701 b
,,,,,,,,,HD 233604 b
,,,,,,,,,HD 233832 b
,,,,,,,,,HD 23472 b
,,,,,,,,,HD 23472 c
,,,,,,,,,HD 23596 b
,,,,,,,,,HD 238914 b
,,,,,,,,,HD 240210 b
,,,,,,,,,HD 240237 b
,,,,,,,,,HD 24040 b
,,,,,,,,,HD 24064 b
,,,,,,,,,HD 24085 b
,,,,,,,,,HD 25015 b
,,,,,,,,,HD 25171 b
,,,,,,,,,HD 2638 b
,,,,,,,,,HD 2685 b
,,,,,,,,,HD 26965 b
,,,,,,,,,HD 27442 b
,,,,,,,,,HD 27631 b
,,,,,,,,,HD 27894 b
,,,,,,,,,HD 27894 c
,,,,,,,,,HD 27894 d
,,,,,,,,,HD 28185 b
,,,,,,,,,HD 28254 b
,,,,,,,,,HD 285507 b
,,,,,,,,,HD 285968 b
,,,,,,,,,HD 28678 b
,,,,,,,,,HD 29021 b
,,,,,,,,,HD 290327 b
,,,,,,,,,HD 2952 b
,,,,,,,,,HD 30177 b
,,,,,,,,,HD 30177 c
,,,,,,,,,HD 30562 b
,,,,,,,,,HD 30669 b
,,,,,,,,,HD 30856 b
,,,,,,,,,HD 31253 b
,,,,,,,,,HD 31527 b
,,,,,,,,,HD 31527 c
,,,,,,,,,HD 31527 d
,,,,,,,,,HD 3167 b
,,,,,,,,,HD 3167 c
,,,,,,,,,HD 3167 d
,,,,,,,,,HD 32518 b
,,,,,,,,,HD 32963 b
,,,,,,,,,HD 330075 b
,,,,,,,,,HD 33142 b
,,,,,,,,,HD 33142 c
,,,,,,,,,HD 332231 b
,,,,,,,,,HD 33283 b
,,,,,,,,,HD 33564 b
,,,,,,,,,HD 33844 b
,,,,,,,,,HD 33844 c
,,,,,,,,,HD 34445 b
,,,,,,,,,HD 34445 c
,,,,,,,,,HD 34445 d
,,,,,,,,,HD 34445 e
,,,,,,,,,HD 34445 f
,,,,,,,,,HD 34445 g
,,,,,,,,,HD 35759 b
,,,,,,,,,HD 3651 b
,,,,,,,,,HD 37124 b
,,,,,,,,,HD 37124 c
,,,,,,,,,HD 37124 d
,,,,,,,,,HD 37605 b
,,,,,,,,,HD 37605 c
,,,,,,,,,HD 38283 b
,,,,,,,,,HD 38529 b
,,,,,,,,,HD 38529 c
,,,,,,,,,HD 38801 b
,,,,,,,,,HD 39091 b
,,,,,,,,,HD 39855 b
,,,,,,,,,HD 40307 b
,,,,,,,,,HD 40307 c
,,,,,,,,,HD 40307 d
,,,,,,,,,HD 40307 f
,,,,,,,,,HD 40307 g
,,,,,,,,,HD 40956 b
,,,,,,,,,HD 40979 b
,,,,,,,,,HD 41004 A b
,,,,,,,,,HD 41004 B b
,,,,,,,,,HD 4113 b
,,,,,,,,,HD 42012 b
,,,,,,,,,HD 4203 b
,,,,,,,,,HD 4203 c
,,,,,,,,,HD 4208 b
,,,,,,,,,HD 42618 b
,,,,,,,,,HD 4308 b
,,,,,,,,,HD 4313 b
,,,,,,,,,HD 43197 b
,,,,,,,,,HD 43691 b
,,,,,,,,,HD 44219 b
,,,,,,,,,HD 45184 b
,,,,,,,,,HD 45184 c
,,,,,,,,,HD 45350 b
,,,,,,,,,HD 45364 b
,,,,,,,,,HD 45364 c
,,,,,,,,,HD 45652 b
,,,,,,,,,HD 46375 b
,,,,,,,,,HD 47186 b
,,,,,,,,,HD 47186 c
,,,,,,,,,HD 4732 b
,,,,,,,,,HD 4732 c
,,,,,,,,,HD 47366 b
,,,,,,,,,HD 47366 c
,,,,,,,,,HD 47536 b
,,,,,,,,,HD 48265 b
,,,,,,,,,HD 4917 b
,,,,,,,,,HD 49674 b
,,,,,,,,,HD 50499 b
,,,,,,,,,HD 50499 c
,,,,,,,,,HD 50554 b
,,,,,,,,,HD 51608 b
,,,,,,,,,HD 51608 c
,,,,,,,,,HD 52265 b
,,,,,,,,,HD 5319 b
,,,,,,,,,HD 5319 c
,,,,,,,,,HD 55696 b
,,,,,,,,,HD 5583 b
,,,,,,,,,HD 5608 b
,,,,,,,,,HD 564 b
,,,,,,,,,HD 5891 b
,,,,,,,,,HD 59686 A b
,,,,,,,,,HD 60532 b
,,,,,,,,,HD 60532 c
,,,,,,,,,HD 62509 b
,,,,,,,,,HD 63433 b
,,,,,,,,,HD 63433 c
,,,,,,,,,HD 63454 b
,,,,,,,,,HD 63765 b
,,,,,,,,,HD 64114 b
,,,,,,,,,HD 6434 b
,,,,,,,,,HD 65216 b
,,,,,,,,,HD 65216 c
,,,,,,,,,HD 66141 b
,,,,,,,,,HD 66428 b
,,,,,,,,,HD 67087 b
,,,,,,,,,HD 67087 c
,,,,,,,,,HD 6718 b
,,,,,,,,,HD 68402 b
,,,,,,,,,HD 68988 b
,,,,,,,,,HD 69830 b
,,,,,,,,,HD 69830 c
,,,,,,,,,HD 69830 d
,,,,,,,,,HD 70573 b
,,,,,,,,,HD 70642 b
,,,,,,,,,HD 7199 b
,,,,,,,,,HD 72490 b
,,,,,,,,,HD 72659 b
,,,,,,,,,HD 72892 b
,,,,,,,,,HD 73267 b
,,,,,,,,,HD 73526 b
,,,,,,,,,HD 73526 c
,,,,,,,,,HD 73534 b
,,,,,,,,,HD 74156 b
,,,,,,,,,HD 74156 c
,,,,,,,,,HD 7449 b
,,,,,,,,,HD 75289 b
,,,,,,,,,HD 75784 b
,,,,,,,,,HD 75784 c
,,,,,,,,,HD 75898 b
,,,,,,,,,HD 76700 b
,,,,,,,,,HD 76920 b
,,,,,,,,,HD 77338 b
,,,,,,,,,HD 7924 b
,,,,,,,,,HD 7924 c
,,,,,,,,,HD 7924 d
,,,,,,,,,HD 79498 b
,,,,,,,,,HD 80606 b
,,,,,,,,,HD 80653 b
,,,,,,,,,HD 81040 b
,,,,,,,,,HD 81688 b
,,,,,,,,,HD 81817 b
,,,,,,,,,HD 82886 b
,,,,,,,,,HD 82943 b
,,,,,,,,,HD 82943 c
,,,,,,,,,HD 8326 b
,,,,,,,,,HD 83443 b
,,,,,,,,,HD 8535 b
,,,,,,,,,HD 85390 b
,,,,,,,,,HD 85512 b
,,,,,,,,,HD 8574 b
,,,,,,,,,HD 86081 b
,,,,,,,,,HD 86226 b
,,,,,,,,,HD 86226 c
,,,,,,,,,HD 86264 b
,,,,,,,,,HD 8673 b
,,,,,,,,,HD 86950 b
,,,,,,,,,HD 87646 b
,,,,,,,,,HD 87883 b
,,,,,,,,,HD 88133 b
,,,,,,,,,HD 89307 b
,,,,,,,,,HD 89345 b
,,,,,,,,,HD 89744 b
,,,,,,,,,HD 90156 b
,,,,,,,,,HD 9174 b
,,,,,,,,,HD 92788 b
,,,,,,,,,HD 92788 c
,,,,,,,,,HD 92987 b
,,,,,,,,,HD 93083 b
,,,,,,,,,HD 9446 b
,,,,,,,,,HD 9446 c
,,,,,,,,,HD 94834 b
,,,,,,,,,HD 95086 b
,,,,,,,,,HD 95089 b
,,,,,,,,,HD 95089 c
,,,,,,,,,HD 95127 b
,,,,,,,,,HD 95338 b
,,,,,,,,,HD 95872 b
,,,,,,,,,HD 96063 b
,,,,,,,,,HD 96127 b
,,,,,,,,,HD 96167 b
,,,,,,,,,HD 97048 b
,,,,,,,,,HD 97658 b
,,,,,,,,,HD 98219 b
,,,,,,,,,HD 98649 b
,,,,,,,,,HD 98736 b
,,,,,,,,,HD 99109 b
,,,,,,,,,HD 99492 b
,,,,,,,,,HD 99706 b
,,,,,,,,,HD 99706 c
,,,,,,,,,HIP 105854 b
,,,,,,,,,HIP 107772 b
,,,,,,,,,HIP 107773 b
,,,,,,,,,HIP 109384 b
,,,,,,,,,HIP 109600 b
,,,,,,,,,HIP 116454 b
,,,,,,,,,HIP 12961 b
,,,,,,,,,HIP 14810 b
,,,,,,,,,HIP 14810 c
,,,,,,,,,HIP 14810 d
,,,,,,,,,HIP 35173 b
,,,,,,,,,HIP 38594 b
,,,,,,,,,HIP 38594 c
,,,,,,,,,HIP 41378 b
,,,,,,,,,HIP 41378 c
,,,,,,,,,HIP 41378 d
,,,,,,,,,HIP 41378 e
,,,,,,,,,HIP 41378 f
,,,,,,,,,HIP 4845 b
,,,,,,,,,HIP 48714 b
,,,,,,,,,HIP 5158 b
,,,,,,,,,HIP 5158 c
,,,,,,,,,HIP 54373 b
,,,,,,,,,HIP 54373 c
,,,,,,,,,HIP 57274 b
,,,,,,,,,HIP 57274 c
,,,,,,,,,HIP 57274 d
,,,,,,,,,HIP 63242 b
,,,,,,,,,HIP 65407 b
,,,,,,,,,HIP 65407 c
,,,,,,,,,HIP 65426 b
,,,,,,,,,HIP 65891 b
,,,,,,,,,HIP 65 A b
,,,,,,,,,HIP 67522 b
,,,,,,,,,HIP 67537 b
,,,,,,,,,HIP 67851 b
,,,,,,,,,HIP 67851 c
,,,,,,,,,HIP 70849 b
,,,,,,,,,HIP 71135 b
,,,,,,,,,HIP 74890 b
,,,,,,,,,HIP 78530 b
,,,,,,,,,HIP 79098 AB b
,,,,,,,,,HIP 79431 b
,,,,,,,,,HIP 8541 b
,,,,,,,,,HIP 91258 b
,,,,,,,,,HIP 97233 b
,,,,,,,,,HN Pegasi b
,,,,,,,,,HR 2562 b
,,,,,,,,,HR 5183 b
,,,,,,,,,HR 810 b
,,,,,,,,,HR 858 b
,,,,,,,,,HR 858 c
,,,,,,,,,HR 858 d
,,,,,,,,,HR 8799 b
,,,,,,,,,HR 8799 c
,,,,,,,,,HR 8799 d
,,,,,,,,,HR 8799 e
,,,,,,,,,HU Aquarii AB b
,,,,,,,,,HU Aquarii AB c
,,,,,,,,,HW Virginis b
,,,,,,,,,IC 4651 9122 b
,,,,,,,,,Iota Draconis b
,,,,,,,,,K2-100 b
,,,,,,,,,K2-101 b
,,,,,,,,,K2-102 b
,,,,,,,,,K2-104 b
,,,,,,,,,K2-105 b
,,,,,,,,,K2-107 b
,,,,,,,,,K2-108 b
,,,,,,,,,K2-10 b
,,,,,,,,,K2-110 b
,,,,,,,,,K2-111 b
,,,,,,,,,K2-113 b
,,,,,,,,,K2-114 b
,,,,,,,,,K2-115 b
,,,,,,,,,K2-116 b
,,,,,,,,,K2-117 b
,,,,,,,,,K2-117 c
,,,,,,,,,K2-118 b
,,,,,,,,,K2-119 b
,,,,,,,,,K2-11 b
,,,,,,,,,K2-120 b
,,,,,,,,,K2-121 b
,,,,,,,,,K2-122 b
,,,,,,,,,K2-123 b
,,,,,,,,,K2-124 b
,,,,,,,,,K2-125 b
,,,,,,,,,K2-126 b
,,,,,,,,,K2-127 b
,,,,,,,,,K2-128 b
,,,,,,,,,K2-129 b
,,,,,,,,,K2-12 b
,,,,,,,,,K2-130 b
,,,,,,,,,K2-131 b
,,,,,,,,,K2-132 b
,,,,,,,,,K2-133 b
,,,,,,,,,K2-133 c
,,,,,,,,,K2-133 d
,,,,,,,,,K2-133 e
,,,,,,,,,K2-136 b
,,,,,,,,,K2-136 c
,,,,,,,,,K2-136 d
,,,,,,,,,K2-137 b
,,,,,,,,,K2-138 b
,,,,,,,,,K2-138 c
,,,,,,,,,K2-138 d
,,,,,,,,,K2-138 e
,,,,,,,,,K2-138 f
,,,,,,,,,K2-139 b
,,,,,,,,,K2-13 b
,,,,,,,,,K2-140 b
,,,,,,,,,K2-141 b
,,,,,,,,,K2-141 c
,,,,,,,,,K2-146 b
,,,,,,,,,K2-146 c
,,,,,,,,,K2-147 b
,,,,,,,,,K2-148 b
,,,,,,,,,K2-148 c
,,,,,,,,,K2-148 d
,,,,,,,,,K2-149 b
,,,,,,,,,K2-14 b
,,,,,,,,,K2-150 b
,,,,,,,,,K2-151 b
,,,,,,,,,K2-152 b
,,,,,,,,,K2-153 b
,,,,,,,,,K2-154 b
,,,,,,,,,K2-154 c
,,,,,,,,,K2-155 b
,,,,,,,,,K2-155 c
,,,,,,,,,K2-155 d
,,,,,,,,,K2-156 b
,,,,,,,,,K2-157 b
,,,,,,,,,K2-158 b
,,,,,,,,,K2-158 c
,,,,,,,,,K2-159 b
,,,,,,,,,K2-15 b
,,,,,,,,,K2-160 b
,,,,,,,,,K2-161 b
,,,,,,,,,K2-155 c
,,,,,,,,,K2-155 d
,,,,,,,,,K2-156 b
,,,,,,,,,K2-157 b
,,,,,,,,,K2-158 b
,,,,,,,,,K2-158 c
,,,,,,,,,K2-159 b
,,,,,,,,,K2-15 b
,,,,,,,,,K2-160 b
,,,,,,,,,K2-161 b
,,,,,,,,,K2-16 b
,,,,,,,,,K2-16 c
,,,,,,,,,K2-170 b
,,,,,,,,,K2-170 c
,,,,,,,,,K2-171 b
,,,,,,,,,K2-172 b
,,,,,,,,,K2-172 c
,,,,,,,,,K2-173 b
,,,,,,,,,K2-174 b
,,,,,,,,,K2-175 b
,,,,,,,,,K2-176 b
,,,,,,,,,K2-177 b
,,,,,,,,,K2-178 b
,,,,,,,,,K2-179 b
,,,,,,,,,K2-17 b
,,,,,,,,,K2-180 b
,,,,,,,,,K2-181 b
,,,,,,,,,K2-182 b
,,,,,,,,,K2-183 b
,,,,,,,,,K2-183 c
,,,,,,,,,K2-183 d
,,,,,,,,,K2-184 b
,,,,,,,,,K2-185 b
,,,,,,,,,K2-186 b
,,,,,,,,,K2-187 b
,,,,,,,,,K2-187 c
,,,,,,,,,K2-187 d
,,,,,,,,,K2-187 e
,,,,,,,,,K2-188 b
,,,,,,,,,K2-188 c
,,,,,,,,,K2-189 b
,,,,,,,,,K2-189 c
,,,,,,,,,K2-18 b
,,,,,,,,,K2-18 c
,,,,,,,,,K2-190 b
,,,,,,,,,K2-190 c
,,,,,,,,,K2-191 b
,,,,,,,,,K2-192 b
,,,,,,,,,K2-193 b
,,,,,,,,,K2-194 b
,,,,,,,,,K2-195 b
,,,,,,,,,K2-195 c
,,,,,,,,,K2-196 b
,,,,,,,,,K2-197 b
,,,,,,,,,K2-198 b
,,,,,,,,,K2-198 c
,,,,,,,,,K2-198 d
,,,,,,,,,K2-199 b
,,,,,,,,,K2-199 c
,,,,,,,,,K2-19 b
,,,,,,,,,K2-19 c
,,,,,,,,,K2-19 d
,,,,,,,,,K2-200 b
,,,,,,,,,K2-201 b
,,,,,,,,,K2-201 c
,,,,,,,,,K2-202 b
,,,,,,,,,K2-203 b
,,,,,,,,,K2-204 b
,,,,,,,,,K2-205 b
,,,,,,,,,K2-206 b
,,,,,,,,,K2-207 b
,,,,,,,,,K2-208 b
,,,,,,,,,K2-209 b
,,,,,,,,,K2-210 b
,,,,,,,,,K2-211 b
,,,,,,,,,K2-212 b
,,,,,,,,,K2-213 b
,,,,,,,,,K2-214 b
,,,,,,,,,K2-215 b
,,,,,,,,,K2-216 b
,,,,,,,,,K2-217 b
,,,,,,,,,K2-218 b
,,,,,,,,,K2-219 b
,,,,,,,,,K2-219 c
,,,,,,,,,K2-219 d
,,,,,,,,,K2-21 b
,,,,,,,,,K2-21 c
,,,,,,,,,K2-220 b
,,,,,,,,,K2-221 b
,,,,,,,,,K2-222 b
,,,,,,,,,K2-223 b
,,,,,,,,,K2-223 c
,,,,,,,,,K2-224 b
,,,,,,,,,K2-224 c
,,,,,,,,,K2-225 b
,,,,,,,,,K2-226 b
,,,,,,,,,K2-227 b
,,,,,,,,,K2-228 b
,,,,,,,,,K2-229 b
,,,,,,,,,K2-229 c
,,,,,,,,,K2-223 b
,,,,,,,,,K2-223 c
,,,,,,,,,K2-224 b
,,,,,,,,,K2-224 c
,,,,,,,,,K2-225 b
,,,,,,,,,K2-226 b
,,,,,,,,,K2-227 b
,,,,,,,,,K2-228 b
,,,,,,,,,K2-229 b
,,,,,,,,,K2-229 c
,,,,,,,,,K2-239 c
,,,,,,,,,K2-239 d
,,,,,,,,,K2-240 b
,,,,,,,,,K2-240 c
,,,,,,,,,K2-241 b
,,,,,,,,,K2-242 b
,,,,,,,,,K2-243 b
,,,,,,,,,K2-243 c
,,,,,,,,,K2-244 b
,,,,,,,,,K2-245 b
,,,,,,,,,K2-246 b
,,,,,,,,,K2-247 b
,,,,,,,,,K2-247 c
,,,,,,,,,K2-248 b
,,,,,,,,,K2-249 b
,,,,,,,,,K2-24 b
,,,,,,,,,K2-24 c
,,,,,,,,,K2-250 b
,,,,,,,,,K2-251 b
,,,,,,,,,K2-252 b
,,,,,,,,,K2-253 b
,,,,,,,,,K2-254 b
,,,,,,,,,K2-254 c
,,,,,,,,,K2-255 b
,,,,,,,,,K2-256 b
,,,,,,,,,K2-257 b
,,,,,,,,,K2-258 b
,,,,,,,,,K2-259 b
,,,,,,,,,K2-25 b
,,,,,,,,,K2-260 b
,,,,,,,,,K2-261 b
,,,,,,,,,K2-263 b
,,,,,,,,,K2-264 b
,,,,,,,,,K2-264 c
,,,,,,,,,K2-265 b
,,,,,,,,,K2-266 b
,,,,,,,,,K2-266 c
,,,,,,,,,K2-266 d
,,,,,,,,,K2-266 e
,,,,,,,,,K2-268 b
,,,,,,,,,K2-268 c
,,,,,,,,,K2-269 b
,,,,,,,,,K2-26 b
,,,,,,,,,K2-270 b
,,,,,,,,,K2-270 c
,,,,,,,,,K2-271 b
,,,,,,,,,K2-272 b
,,,,,,,,,K2-273 b
,,,,,,,,,K2-274 b
,,,,,,,,,K2-275 b
,,,,,,,,,K2-275 c
,,,,,,,,,K2-276 b
,,,,,,,,,K2-277 b
,,,,,,,,,K2-278 b
,,,,,,,,,K2-279 b
,,,,,,,,,K2-27 b
,,,,,,,,,K2-280 b
,,,,,,,,,K2-281 b
,,,,,,,,,K2-282 b
,,,,,,,,,K2-283 b
,,,,,,,,,K2-284 b
,,,,,,,,,K2-285 b
,,,,,,,,,K2-285 c
,,,,,,,,,K2-285 d
,,,,,,,,,K2-285 e
,,,,,,,,,K2-286 b
,,,,,,,,,K2-287 b
,,,,,,,,,K2-288 B b
,,,,,,,,,K2-289 b
,,,,,,,,,K2-28 b
,,,,,,,,,K2-290 b
,,,,,,,,,K2-290 c
,,,,,,,,,K2-291 b
,,,,,,,,,K2-292 b
,,,,,,,,,K2-293 b
,,,,,,,,,K2-294 b
,,,,,,,,,K2-295 b
,,,,,,,,,K2-29 b
,,,,,,,,,K2-308 b
,,,,,,,,,K2-30 b
,,,,,,,,,K2-315 b
,,,,,,,,,K2-316 b
,,,,,,,,,K2-316 c
,,,,,,,,,K2-317 b
,,,,,,,,,K2-318 b
,,,,,,,,,K2-319 b
,,,,,,,,,K2-31 b
,,,,,,,,,K2-320 b
,,,,,,,,,K2-321 b
,,,,,,,,,K2-322 b
,,,,,,,,,K2-323 b
,,,,,,,,,K2-324 b
,,,,,,,,,K2-325 b
,,,,,,,,,K2-326 b
,,,,,,,,,K2-32 b
,,,,,,,,,K2-32 c
,,,,,,,,,K2-32 d
,,,,,,,,,K2-32 e
,,,,,,,,,K2-33 b
,,,,,,,,,K2-34 b
,,,,,,,,,K2-35 b
,,,,,,,,,K2-35 c
,,,,,,,,,K2-36 b
,,,,,,,,,K2-36 c
,,,,,,,,,K2-37 b
,,,,,,,,,K2-37 c
,,,,,,,,,K2-37 d
,,,,,,,,,K2-38 b
,,,,,,,,,K2-38 c
,,,,,,,,,K2-39 b
,,,,,,,,,K2-3 b
,,,,,,,,,K2-3 c
,,,,,,,,,K2-3 d
,,,,,,,,,K2-42 b
,,,,,,,,,K2-43 b
,,,,,,,,,K2-43 c
,,,,,,,,,K2-44 b
,,,,,,,,,K2-45 b
,,,,,,,,,K2-46 b
,,,,,,,,,K2-47 b
,,,,,,,,,K2-48 b
,,,,,,,,,K2-49 b
,,,,,,,,,K2-4 b
,,,,,,,,,K2-50 b
,,,,,,,,,K2-52 b
,,,,,,,,,K2-53 b
,,,,,,,,,K2-54 b
,,,,,,,,,K2-55 b
,,,,,,,,,K2-57 b
,,,,,,,,,K2-58 b
,,,,,,,,,K2-58 c
,,,,,,,,,K2-58 d
,,,,,,,,,K2-59 b
,,,,,,,,,K2-59 c
,,,,,,,,,K2-5 b
,,,,,,,,,K2-5 c
,,,,,,,,,K2-60 b
,,,,,,,,,K2-61 b
,,,,,,,,,K2-62 b
,,,,,,,,,K2-62 c
,,,,,,,,,K2-63 b
,,,,,,,,,K2-63 c
,,,,,,,,,K2-64 b
,,,,,,,,,K2-65 b
,,,,,,,,,K2-66 b
,,,,,,,,,K2-68 b
,,,,,,,,,K2-69 b
,,,,,,,,,K2-6 b
,,,,,,,,,K2-70 b
,,,,,,,,,K2-71 b
,,,,,,,,,K2-72 b
,,,,,,,,,K2-72 c
,,,,,,,,,K2-72 d
,,,,,,,,,K2-72 e
,,,,,,,,,K2-73 b
,,,,,,,,,K2-74 b
,,,,,,,,,K2-75 b
,,,,,,,,,K2-75 c
,,,,,,,,,K2-77 b
,,,,,,,,,K2-79 b
,,,,,,,,,K2-7 b
,,,,,,,,,K2-80 b
,,,,,,,,,K2-80 c
,,,,,,,,,K2-80 d
,,,,,,,,,K2-81 b
,,,,,,,,,K2-83 b
,,,,,,,,,K2-83 c
,,,,,,,,,K2-84 b
,,,,,,,,,K2-84 c
,,,,,,,,,K2-85 b
,,,,,,,,,K2-86 b
,,,,,,,,,K2-87 b
,,,,,,,,,K2-88 b
,,,,,,,,,K2-89 b
,,,,,,,,,K2-8 b
,,,,,,,,,K2-8 c
,,,,,,,,,K2-90 b
,,,,,,,,,K2-90 c
